date,heima,uti,mork_heima,mork_uti
2025-02-04,Haukar,Fram,29,30
2025-02-04,Afturelding,IR,34,27
2025-02-04,Grotta,HK,23,29
2025-02-04,FH,Stjarnan,29,29
2025-02-04,KA,Valur,29,32
2025-02-04,Fjolnir,IBV,26,30
2024-12-18,Fram,Valur,35,32
2024-12-18,KA,Afturelding,26,28
2024-12-17,IR,Stjarnan,34,35
2024-12-14,KA,Afturelding,28,28
2024-12-14,IBV,FH,26,26
2024-12-13,Valur,Stjarnan,40,34
2024-12-13,Fram,Grotta,38,33
2024-12-12,HK,Fjolnir,30,23
2024-12-12,IR,Haukar,27,43
2024-12-09,Valur,Grotta,29,26
2024-12-09,Selfoss,FH,25,35
2024-12-06,Haukar,KA,38,31
2024-12-06,Stjarnan,IBV,33,26
2024-12-05,Grotta,IR,29,29
2024-12-05,FH,HK,30,21
2024-12-05,Afturelding,Valur,29,25
2024-12-05,Fjolnir,Fram,28,36
2024-11-30,IBV,Valur,33,28
2024-11-29,HK,Stjarnan,27,27
2024-11-29,Fram,FH,29,30
2024-11-28,IR,Fjolnir,41,33
2024-11-28,KA,Grotta,29,23
2024-11-26,Afturelding,Haukar,26,29
2024-11-22,HK,IBV,32,24
2024-11-22,Haukar,Valur,29,33
2024-11-22,IR,FH,24,41
2024-11-22,Afturelding,Grotta,32,28
2024-11-22,KA,Fjolnir,27,23
2024-11-21,Fram,Stjarnan,35,26
2024-11-18,HK,Afturelding,24,28
2024-11-17,Stjarnan,Fjolnir,39,33
2024-11-17,Haukar,IBV,37,29
2024-11-15,Stjarnan,IR,38,33
2024-11-15,Valur,HK,33,23
2024-11-14,Grotta,Haukar,25,42
2024-11-14,Fjolnir,Afturelding,24,30
2024-11-14,FH,KA,36,25
2024-11-13,IBV,Fram,29,36
2024-11-02,Afturelding,FH,29,35
2024-11-01,Grotta,Valur,21,22
2024-10-31,Haukar,Fjolnir,38,28
2024-10-31,Fram,HK,26,25
2024-10-31,KA,Stjarnan,27,27
2024-10-31,IR,IBV,31,41
2024-10-26,IBV,KA,36,31
2024-10-25,Fram,Valur,31,31
2024-10-24,HK,IR,37,31
2024-10-24,Fjolnir,Grotta,31,28
2024-10-24,Stjarnan,Afturelding,29,36
2024-10-18,Grotta,FH,24,24
2024-10-18,Fjolnir,Valur,34,35
2024-10-17,IR,Fram,35,34
2024-10-17,KA,HK,35,34
2024-10-17,Afturelding,IBV,38,27
2024-10-17,Haukar,Stjarnan,20,20
2024-10-15,FH,Gummersbach,21,40
2024-10-15,Valur,Porto,27,27
2024-10-12,FH,Fjolnir,25,18
2024-10-11,Valur,IR,41,36
2024-10-11,Fram,KA,34,28
2024-10-10,Stjarnan,Grotta,30,29
2024-10-10,HK,Afturelding,24,32
2024-10-10,IBV,Haukar,32,29
2024-10-04,Fjolnir,Stjarnan,29,28
2024-10-03,Afturelding,Fram,34,29
2024-10-03,FH,Valur,23,30
2024-10-03,Grotta,IBV,32,30
2024-10-03,KA,IR,28,24
2024-10-02,Haukar,HK,29,29
2024-09-27,Fram,Haukar,37,34
2024-09-27,Stjarnan,FH,22,26
2024-09-26,IR,Afturelding,31,31
2024-09-26,HK,Grotta,29,31
2024-09-26,IBV,Fjolnir,30,22
2024-09-25,Valur,KA,38,27
2024-09-23,FH,Haukar,30,29
2024-09-20,Afturelding,KA,33,22
2024-09-20,Fjolnir,HK,28,27
2024-09-19,Grotta,Fram,31,35
2024-09-19,Stjarnan,Valur,28,25
2024-09-19,Haukar,IR,37,30
2024-09-19,FH,IBV,33,30
2024-09-14,Fram,Fjolnir,43,28
2024-09-13,IBV,Stjarnan,33,31
2024-09-13,Valur,Afturelding,31,34
2024-09-12,IR,Grotta,29,33
2024-09-12,HK,FH,36,32
2024-09-12,KA,Haukar,26,34
2024-09-07,Grotta,KA,29,25
2024-09-06,Fjolnir,IR,26,36
2024-09-05,Haukar,Afturelding,27,26
2024-09-05,FH,Fram,27,23
2024-09-05,Stjarnan,HK,29,27
2024-09-04,Valur,IBV,31,31
2024-08-28,FH,Valur,30,28
