Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Stjarnan,Adam Thorstensen,2023/24,24,8.9,33.8,17.4,0.5,25.5,0,0,0.3,0.3,0,0,0
Stjarnan,Adam Thorstensen,2022/23,22,6.3,29.1,15.3,0.3,18.8,0.1,0,0.3,0.1,0,0,0
Stjarnan,Adam Thorstensen,2021/22,11,6.4,33.8,12.5,0.6,50,0,0,0.1,0,0,0,0
Stjarnan,Adam Thorstensen,2020/21,23,8.1,30.2,18.8,0.6,27.5,0.1,0,0,0.2,0,0,0
IR,Adam Thorstensen,2018/19,11,1.4,35.7,2.5,0.2,20,0,0,0.1,0,0,0,0
IR,Adam Thorstensen,2017/18,2,0,0,0,0,0,0,0,0,0,0,0,0
Selfoss,Alexander Hrafnkelsson,2023/24,18,3.1,30.4,7.1,0.2,14.3,0.1,0.2,0.1,0.2,0,0,0
Selfoss,Alexander Hrafnkelsson,2022/23,10,2.9,40.3,4.3,0.1,25,0,0,0.4,0.2,0,0,0
Selfoss,Alexander Hrafnkelsson,2021/22,3,4,28.6,10,0.3,100,0,0,0,0,0,0,0
Selfoss,Alexander Hrafnkelsson,2020/21,24,0.3,15.7,1.8,0.2,19,0,0,0,0,0,0,0
Selfoss,Alexander Hrafnkelsson,2019/20,4,10.3,32.8,21,0.5,18.2,0,0,0.8,0.5,0,0,0
Selfoss,Alexander Hrafnkelsson,2018/19,2,0,0,0,0,0,0,0,0,0,0,0,0
Selfoss,Alexander Hrafnkelsson,2017/18,2,1,22.2,3.5,0,0,0,0,0,0,0,0,0
Fjolnir,Andreas Örn Aðalsteinsson,2019/20,1,4,25,12,0,0,0,0,0,0,0,0,0
Afturelding,Andri Sigmarsson Scheving,2021/22,21,9.3,30.6,21,0.3,11.3,0.1,0,0.1,0.3,0,0,0
Haukar,Andri Sigmarsson Scheving,2020/21,28,4.4,34.4,8.4,0.1,11.8,0,0.1,0.2,0,0,0,0
Haukar,Andri Sigmarsson Scheving,2019/20,20,5,34.8,9.4,0.6,23.9,0,0,0.1,0,0,0,0
Haukar,Andri Sigmarsson Scheving,2018/19,34,3.2,38.2,5.1,0.6,37,0.1,0.1,0,0,0,0,0
Haukar,Andri Sigmarsson Scheving,2017/18,27,1.1,31,2.6,0.1,20,0,0,0.1,0,0,0,0
IBV,Andri Ísak Sigfússon,2018/19,4,0,0,2.5,0,0,0,0,0,0,0,0,0
IBV,Andri Ísak Sigfússon,2017/18,15,0.3,36.4,0.5,0,0,0,0,0,0,0,0,0
Haukar,Ari Dignus Maríuson,2023/24,3,0.3,25,1,0,0,0,0,0,0,0,0,0
Valur,Arnar Þór Fylkisson,2023/24,20,2.4,35.8,4.3,0.2,25,0,0.1,0.1,0.1,0,0,0
Thor,Arnar Þór Fylkisson,2020/21,22,3.5,26.6,9.8,0.2,15.4,0,0,0,0.4,0,0,0
Akureyri,Arnar Þór Fylkisson,2018/19,22,6.5,28.9,16,0.6,28.3,0,0,0.2,0.1,0,0,0
Stjarnan,Arnór Freyr Stefánsson,2022/23,20,4.5,31.7,9.6,0.6,30.8,0.1,0.1,0.2,0.1,0,0,0
Stjarnan,Arnór Freyr Stefánsson,2021/22,21,6.1,27.1,16.4,0.3,18.9,0,0,0.2,0.1,0,0,0
Afturelding,Arnór Freyr Stefánsson,2020/21,19,5.7,31.5,12.5,0.3,17.9,0,0.1,0.1,0.1,0,0,0
Afturelding,Arnór Freyr Stefánsson,2019/20,20,10.6,31.8,22.7,0.5,20,0.2,0.1,0.4,0.2,0.1,0,0
Afturelding,Arnór Freyr Stefánsson,2018/19,15,10.3,35.1,19,0.3,19,0.3,0.1,0.6,0.1,0.1,0,0
Fram,Arnór Máni Daðason,2023/24,23,4.3,26.9,11.6,0.3,17.6,0,0,0.2,0.1,0,0,0
Fram,Arnór Máni Daðason,2022/23,17,3,26,8.5,0.2,20,0,0.1,0.1,0.2,0,0,0
Fram,Arnór Máni Daðason,2021/22,15,2.1,20.5,8,0.2,20,0,0,0.1,0,0,0,0
Haukar,Aron Rafn Eðvarðsson,2023/24,22,8.8,33.2,17.7,0.7,25.4,0.3,0.3,0.5,0.2,0,0,0
Haukar,Aron Rafn Eðvarðsson,2022/23,20,10.1,31,22.5,0.9,30.4,0.2,0.3,0.5,0.2,0,0,0
Haukar,Aron Rafn Eðvarðsson,2021/22,17,10.4,33.5,20.5,0.5,24.3,0.2,0.2,0.8,0.2,0,0,0
IBV,Aron Rafn Eðvarðsson,2017/18,30,10.1,33.9,19.6,0.6,31.6,0.3,0.1,0.6,0.1,0,0,0
FH,Axel Hreinn Hilmisson,2023/24,33,0.6,23.8,1.9,0.1,30.8,0,0,0,0,0,0,0
FH,Axel Hreinn Hilmisson,2022/23,22,1.9,23.7,6,0.2,18.2,0,0,0,0.1,0,0,0
Fjolnir,Axel Hreinn Hilmisson,2019/20,19,3.9,28.8,9.6,0.3,27.8,0,0,0.1,0.1,0,0,0
