Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Haukar,Adam Haukur Baumruk,2023/24,24,2.5,51.7,0,0,0.2,1.4,1.9,72.3,0.2,0.7,2.13,2.94,0.3,0.4,0.3,5,0.2,0.7,0.1,6.4
Haukar,Adam Haukur Baumruk,2022/23,34,1.6,47.5,0,0,0.1,1.3,1.9,69.2,0.1,0.6,2.37,3.42,0.3,0.4,0.2,6.8,0.2,0.9,0.1,6.3
Haukar,Adam Haukur Baumruk,2021/22,28,3,59.4,0,0,0.5,1.2,1.5,78.6,0.3,1,1.14,1.45,0.2,0.1,0.3,3.5,0.1,0.6,0,6.3
Haukar,Adam Haukur Baumruk,2020/21,28,2.5,57.3,0,0,0.2,2,2.8,73.1,0.3,0.9,2.38,3.25,0.3,0.3,0.3,2.8,0.3,0.4,0,6.5
Haukar,Adam Haukur Baumruk,2019/20,20,4,47.9,0,0,0.2,1.5,2.2,69.8,0.4,1.3,1.15,1.65,0.4,0.2,0.4,2.7,0.3,0.8,0.1,6.2
Haukar,Adam Haukur Baumruk,2018/19,33,4.1,54.7,0,0,0.1,1.1,1.8,60,0.2,1,1.06,1.76,0.2,0.3,0.2,4,0.1,0.3,0.1,6.5
Haukar,Adam Haukur Baumruk,2017/18,19,3.3,51.6,0,0,0.2,1.8,2.6,69.4,0.1,0.8,2.13,3.06,0.3,0.2,0.3,3.2,0.2,0.3,0,6.5
Thor,Aðalsteinn Ernir Bergþórsson,2020/21,21,0.3,66.7,0,0,0,0,0,0,0,0.2,0.25,0.5,0.3,0.3,0.4,2.5,0.1,0.4,0.1,5.2
Stjarnan,Aðalsteinn Örn Aðalsteinsson,2023/24,8,0.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,5
Stjarnan,Aðalsteinn Örn Aðalsteinsson,2022/23,22,0.9,52.6,0,0,0,0.2,0.2,80,0,0.4,0.44,0.56,0.2,0,0,0.5,0,0.1,0,5.2
Fjolnir,Aðalsteinn Örn Aðalsteinsson,2019/20,1,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Vikingur,Agnar Ingi Rúnarsson,2023/24,20,2.2,66.2,0.1,33.3,0.4,0.1,0.2,66.7,0,0.4,0.29,0.43,0.5,0.2,0,1.9,0.1,0.2,0,5.8
Afturelding,Agnar Ingi Rúnarsson,2021/22,19,0.1,33.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,5
Afturelding,Agnar Ingi Rúnarsson,2020/21,20,0.1,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5
Afturelding,Agnar Ingi Rúnarsson,2019/20,14,0.2,42.9,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0.6,0.1,0,0,5.1
Afturelding,Agnar Ingi Rúnarsson,2018/19,3,0.3,100,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Valur,Agnar Smári Jónsson,2023/24,26,1.7,48.4,0,0,0.1,0.7,1.2,56.3,0.1,0.6,1.13,2,0.1,0.2,0,0.1,0,0.1,0,5.5
