Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Haukar,Agnes Ósk Viðarsdóttir,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0
Haukar,Agnes Ósk Viðarsdóttir,2019/20,6,0,0,0.2,0,0,0,0,0,0,0,0,0
HK,Alexandra Von A. Gunnarsdóttir,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0
HK,Alexandra Von A. Gunnarsdóttir,2020/21,14,3.2,26.6,8.9,0.1,4.8,0,0,0,0,0,0,0
HK,Alexandra Von A. Gunnarsdóttir,2019/20,19,2.4,24.5,7.5,0.1,5.3,0,0,0.1,0.1,0,0,0
Fram,Andrea Gunnlaugsdóttir,2023/24,22,8.2,34.4,15.6,0.4,18.2,0,0,0.3,0.4,0,0,0
Valur,Andrea Gunnlaugsdóttir,2021/22,8,3.9,34.4,7.4,0.1,11.1,0.4,0,0.1,0,0,0,0
Valur,Andrea Gunnlaugsdóttir,2020/21,6,2.2,38.2,3.5,0.2,20,0,0,0,0.2,0,0,0
Valur,Andrea Gunnlaugsdóttir,2019/20,13,1.8,39,2.8,0.1,7.7,0.1,0,0,0,0,0,0
IBV,Andrea Gunnlaugsdóttir,2018/19,24,2.9,23.3,9.6,0.1,7.7,0.3,0.1,0.1,0.1,0,0,0
IBV,Andrea Gunnlaugsdóttir,2017/18,5,0.2,33.3,0.4,0,0,0,0,0,0,0,0,0
FH,Anna Borg Aronsdóttir,2020/21,2,1.5,20,6,0,0,0,0,0,0,0,0,0
Haukar,Anna Borg Aronsdóttir,2018/19,3,1.7,31.3,3.7,0,0,0,0,0,0,0,0,0
Valur,Anna Karólína Ingadóttir,2022/23,2,0.5,9.1,5,0,0,0,0,0,0,0,0,0
Haukar,Annika Friðheim Petersen,2021/22,12,11.2,34.3,21.4,0.5,19.4,0,0,0.7,0.3,0,0,0
Haukar,Annika Friðheim Petersen,2020/21,16,11.9,33.4,23.8,0.4,12.8,0.1,0,0.2,0.2,0,0,0
Selfoss,Ágústa Tanja Jóhannsdóttir,2022/23,10,1.8,27.7,4.7,0.1,14.3,0,0,0,0.2,0,0,0
Selfoss,Áslaug Ýr Bragadóttir,2022/23,18,1.7,25.4,5.1,0.2,19,0.1,0,0,0,0,0,0
Selfoss,Áslaug Ýr Bragadóttir,2018/19,7,2,27.5,5.3,0,0,0,0,0,0,0,0,0
Fram,Ástrós Anna Bender Mikaelsdóttir,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Ástrós Anna Bender Mikaelsdóttir,2020/21,4,3.3,40.6,4.8,0,0,0,0,0,0,0,0,0
Afturelding,Ástrós Anna Bender Mikaelsdóttir,2019/20,18,6.9,30,16.2,0.3,11.4,0.1,0,0.1,0.2,0,0,0
IBV,Bernódía Sif Sigurðardóttir,2022/23,6,0.3,13.3,2.2,0,0,0,0,0,0,0,0,0
Selfoss,Cornelia Hermansson,2022/23,20,10.4,29.5,24.8,0.4,13.6,0.2,0,0.2,0.1,0,0,0
Stjarnan,Darija Zecevic,2023/24,18,11.1,32,23.6,0.6,22.4,0.1,0.1,1,0.7,0,0,0
Stjarnan,Darija Zecevic,2022/23,28,13,37.4,21.8,0.4,14.6,0.1,0,1.1,0.9,0,0,0
Stjarnan,Darija Zecevic,2021/22,23,10.8,37.1,18.3,0.6,18.8,0.1,0,0.8,0.7,0,0,0
Selfoss,Dröfn Sveinsdóttir,2022/23,7,0.1,11.1,1.1,0.1,100,0,0,0,0,0,0,0
IBV,Dröfn Haraldsdóttir,2022/23,2,0.5,50,0.5,0,0,0,0,0,0,0,0,0
Stjarnan,Dröfn Haraldsdóttir,2018/19,1,0,0,2,0,0,0,0,0,0,0,0,0
Stjarnan,Dröfn Haraldsdóttir,2017/18,11,8.4,28.1,21.4,0.4,13.3,0.2,0.1,0.5,0.5,0,0,0
