Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
HK,Ada  Kozicka,2018/19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,5
Stjarnan,Adda Sólbjört Högnadóttir,2021/22,12,0.1,50,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,5
Selfoss,Adela Eyrún Jóhannsdóttir,2022/23,20,0.4,41.2,0,0,0.1,0.3,0.6,50,0.1,0.6,0.45,0.91,0,0.3,0.1,0.3,0,0.1,0,5.1
Selfoss,Agnes Sigurðardóttir,2018/19,15,0.3,38.5,0,0,0.1,0,0,0,0.1,0.3,0,0,0.2,0,0,0.1,0,0,0,5.1
Selfoss,Agnes Sigurðardóttir,2017/18,3,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.3,0,0.7,0,0,0,4.9
Afturelding,Agnes Brá Jónsdóttir,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
IBV,Agnes Lilja Styrmisdóttir,2023/24,24,0.6,38.9,0.1,100,0.1,0.3,0.5,63.6,0.2,0.8,0.39,0.61,0,0.2,0,0.4,0,0.1,0,5.1
KA/Thor,Agnes Vala Tryggvadóttir,2023/24,10,0.2,28.6,0,0,0.1,0,0,0,0,0.3,0,0,0,0.1,0,0.5,0,0.2,0,5
KA/Thor,Agnes Vala Tryggvadóttir,2022/23,19,0.1,12.5,0,0,0,0.1,0.2,66.7,0.1,0,0,0,0.2,0.2,0,1.6,0.1,0.3,0,5.2
KA/Thor,Agnes Vala Tryggvadóttir,2021/22,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,5
KA/Thor,Aldís Ásta Heimisdóttir,2021/22,27,4.5,53.3,0,100,1.4,4.8,7.4,64.5,0.7,2.6,1.84,2.86,0.4,0.9,0.7,4.7,0.1,0.7,0,7.9
KA/Thor,Aldís Ásta Heimisdóttir,2020/21,19,3.9,50.3,0,0,0.8,3.1,4.7,65.6,0.7,3.4,0.92,1.41,0.2,0.8,0.9,5.1,0.2,0.5,0,7.2
KA/Thor,Aldís Ásta Heimisdóttir,2019/20,18,1.7,33.7,0,0,0.6,2,2.8,70.6,0.4,1.7,1.16,1.65,0.2,0.3,0.2,3.3,0.2,0.6,0.1,5.6
KA/Thor,Aldís Ásta Heimisdóttir,2018/19,11,1.9,48.8,0,0,0.4,1.2,1.6,76.5,0,1.5,0.76,1,0.1,0.2,0,1.9,0,0.5,0,5.7
Haukar,Alexandra Líf Arnarsdóttir,2023/24,29,1.2,63,0,0,0.3,0.3,0.3,88.9,0,0.3,0.8,0.9,0.1,0.2,1.1,1.8,0,0.2,0,5.7
HK,Alexandra Líf Arnarsdóttir,2021/22,21,0.9,61.3,0,0,0.1,0.1,0.1,75,0,0.5,0.3,0.4,0.2,0.2,0.3,1.2,0.1,0.3,0,5.3
HK,Alexandra Líf Arnarsdóttir,2020/21,14,0.6,75,0,0,0,0.1,0.1,100,0,0.2,0.33,0.33,0.4,0.4,0.5,3.2,0,0.9,0.1,5.5
Haukar,Alexandra Líf Arnarsdóttir,2019/20,18,0.7,63.2,0,0,0.2,0.1,0.2,50,0,0.5,0.11,0.22,0.1,0.5,0.6,1.8,0.3,0.4,0,5.4
Haukar,Alexandra Líf Arnarsdóttir,2018/19,23,0.3,77.8,0,0,0.1,0.1,0.1,100,0.1,0.2,0.5,0.5,0.2,0.4,0.4,2.4,0.3,0.3,0,5.4
Haukar,Alexandra Líf Arnarsdóttir,2017/18,16,0.5,66.7,0,0,0.1,0.1,0.2,50,0,0.2,0.67,1.33,0.4,0.4,0.4,2.1,0.1,0.3,0,5.5
IBV,Alexandra Ósk Viktorsdóttir,2022/23,13,0.1,20,0.1,50,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5
IBV,Alexandra Ósk Gunnarsdóttir Thorarensen,2019/20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,5
IBV,Alexandra Ósk Gunnarsdóttir Thorarensen,2018/19,8,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.1,0,5
IBV,Alexandra Ósk Gunnarsdóttir Thorarensen,2017/18,8,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,5
Fram,Alfa Brá Hagalín,2023/24,24,4.7,48.1,0,0,0.9,2.5,3.5,70.2,0.6,1.3,1.9,2.71,0.5,0.4,0.4,6.6,0.2,0.1,0,7.5
HK,Alfa Brá Hagalín,2022/23,21,2.2,39.2,0,0,0.3,1.6,3.7,43,0.3,1.6,1,2.32,0.3,0.7,0.1,6.1,0.1,0.5,0,6.4
HK,Alfa Brá Hagalín,2021/22,16,0.1,66.7,0,0,0,0.1,0.2,50,0,0.2,0.67,1.33,0,0,0,0.1,0,0,0,5
IBV,Amelía  Einarsdóttir,2023/24,24,2.4,53.7,1.1,75,0,0.3,0.4,75,0,0.6,0.4,0.53,0.5,0.4,0,0.5,0,0,0,5.6
IBV,Amelía  Einarsdóttir,2022/23,26,0.3,47.4,0,0,0,0.1,0.1,66.7,0,0.2,0.4,0.6,0.1,0.2,0,0.2,0,0,0,5.1
IBV,Amelía  Einarsdóttir,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IBV,Amelía  Einarsdóttir,2020/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HK,Amelía Laufey G. Miljevic,2022/23,21,0.7,57.7,0.1,66.7,0.1,0.1,0.1,75,0,0.3,0.5,0.67,0.1,0.1,0,0.7,0,0.1,0,5.2
Afturelding,Anamaria Gugic,2019/20,19,4.2,42.7,1.2,75.9,0.3,0.8,1.5,53.3,0.3,2.7,0.31,0.58,0.1,0.3,0.8,2,0.3,0.4,0,5.8
