timabil,dags,heima,gestir,stig_heima,stig_gestir
2025,2024-09-05T18:00:00Z,Haukar,Selfoss,32,20
2025,2024-09-06T19:30:00Z,Fram,Stjarnan,33,22
2025,2024-09-07T14:00:00Z,Grótta,ÍBV,21,23
2025,2024-09-07T14:15:00Z,Valur,ÍR,35,26
2025,2024-09-13T17:30:00Z,ÍBV,Valur,16,26
2025,2024-09-13T19:30:00Z,Selfoss,Grótta,22,25
2025,2024-09-14T13:30:00Z,Stjarnan,ÍR,20,19
2025,2024-09-14T16:30:00Z,Fram,Haukar,27,26
2025,2024-09-18T18:00:00Z,ÍR,ÍBV,22,22
2025,2024-09-18T19:30:00Z,Valur,Selfoss,30,23
2025,2024-09-19T18:00:00Z,Grótta,Fram,20,29
2025,2024-09-19T20:15:00Z,Haukar,Stjarnan,29,16
2025,2024-10-02T18:00:00Z,Haukar,Grótta,30,11
2025,2024-10-02T19:30:00Z,Fram,Valur,25,29
2025,2024-10-04T20:15:00Z,Selfoss,ÍR,25,22
2025,2024-10-05T16:30:00Z,Stjarnan,ÍBV,22,25
2025,2024-10-12T13:30:00Z,ÍR,Fram,20,20
2025,2024-10-12T14:00:00Z,Grótta,Stjarnan,22,24
2025,2024-10-12T14:00:00Z,ÍBV,Selfoss,24,24
2025,2024-10-12T14:15:00Z,Valur,Haukar,28,22
2025,2024-10-16T18:00:00Z,Fram,ÍBV,29,20
2025,2024-10-16T18:00:00Z,Haukar,ÍR,28,20
2025,2024-10-16T18:30:00Z,Stjarnan,Selfoss,19,25
2025,2024-10-18T18:00:00Z,Grótta,Valur,30,38
2025,2024-10-31T19:30:00Z,Valur,Stjarnan,34,20
2025,2024-10-31T20:15:00Z,ÍR,Grótta,30,18
2025,2024-11-01T18:00:00Z,Selfoss,Fram,27,27
2025,2024-11-02T14:00:00Z,ÍBV,Haukar,20,26
2025,2024-11-05T19:30:00Z,ÍR,Valur,23,31
2025,2024-11-08T19:30:00Z,Selfoss,Haukar,24,27
2025,2024-11-09T13:00:00Z,Stjarnan,Fram,18,24
2025,2024-11-09T15:00:00Z,ÍBV,Grótta,19,31
2025,2024-11-13T17:30:00Z,Valur,ÍBV,29,21
2025,2024-11-13T19:00:00Z,Haukar,Fram,20,28
2025,2024-11-13T19:30:00Z,ÍR,Stjarnan,28,29
2025,2024-11-14T18:00:00Z,Grótta,Selfoss,18,20
2025,2025-01-04T13:00:00Z,Stjarnan,Haukar,29,32
2025,2025-01-04T14:00:00Z,Fram,Grótta,31,22
2025,2025-01-04T14:15:00Z,Selfoss,Valur,20,34
2025,2025-01-05T14:00:00Z,ÍBV,ÍR,23,26
2025,2025-01-08T19:30:00Z,Grótta,Haukar,26,34
2025,2025-01-08T19:30:00Z,Valur,Fram,31,28
2025,2025-01-11T13:30:00Z,ÍR,Selfoss,17,17
2025,2025-01-11T13:30:00Z,ÍBV,Stjarnan,22,23
2025,2025-01-15T19:30:00Z,Haukar,Valur,28,23
2025,2025-01-17T19:30:00Z,Fram,ÍR,22,20
2025,2025-01-19T13:30:00Z,Stjarnan,Grótta,31,28
2025,2025-01-19T14:30:00Z,Selfoss,ÍBV,24,22
2025,2025-01-22T18:00:00Z,Valur,Grótta,40,21
2025,2025-01-23T19:30:00Z,ÍR,Haukar,25,26
2025,2025-01-24T18:00:00Z,Selfoss,Stjarnan,27,22
2025,2025-01-25T13:00:00Z,ÍBV,Fram,17,25
2025,2025-01-31T18:30:00Z,Stjarnan,Valur,24,40
2025,2025-02-01T14:00:00Z,Haukar,ÍBV,32,29
2025,2025-02-01T14:00:00Z,Grótta,ÍR,24,25
2025,2025-02-08T11:30:00Z,ÍBV,Valur,21,32
2025,2025-02-11T18:00:00Z,Valur,ÍR,22,19
2025,2025-02-11T19:30:00Z,Haukar,Selfoss,29,20
2025,2025-02-11T19:30:00Z,Fram,Stjarnan,30,28
2025,2025-02-12T18:00:00Z,Grótta,ÍBV,NA,NA
2025,2025-02-15T13:00:00Z,Stjarnan,ÍR,NA,NA
2025,2025-02-15T14:00:00Z,Fram,Selfoss,NA,NA
2025,2025-02-18T19:30:00Z,Valur,Selfoss,NA,NA
2025,2025-02-19T18:00:00Z,Haukar,Stjarnan,NA,NA
2025,2025-02-22T13:30:00Z,ÍR,ÍBV,NA,NA
2025,2025-02-22T14:00:00Z,Grótta,Fram,NA,NA
2025,2025-03-12T19:30:00Z,Fram,Haukar,NA,NA
2025,2025-03-12T19:30:00Z,Selfoss,Grótta,NA,NA
2025,2025-03-15T18:00:00Z,Haukar,Grótta,NA,NA
2025,2025-03-16T14:00:00Z,Stjarnan,ÍBV,NA,NA
2025,2025-03-16T14:00:00Z,Fram,Valur,NA,NA
2025,2025-03-16T14:00:00Z,Selfoss,ÍR,NA,NA
2025,2025-03-19T19:30:00Z,ÍR,Fram,NA,NA
2025,2025-03-19T19:30:00Z,Valur,Haukar,NA,NA
2025,2025-03-19T19:30:00Z,ÍBV,Selfoss,NA,NA
2025,2025-03-19T19:30:00Z,Grótta,Stjarnan,NA,NA
2025,2025-03-22T13:30:00Z,Fram,ÍBV,NA,NA
2025,2025-03-22T13:30:00Z,Haukar,ÍR,NA,NA
2025,2025-03-22T13:30:00Z,Grótta,Valur,NA,NA
2025,2025-03-22T13:30:00Z,Stjarnan,Selfoss,NA,NA
