timabil,dags,heima,gestir,stig_heima,stig_gestir,leikmenn_heima,leikmenn_gestir
2025,2024-09-04T18:30:00Z,Valur,ÍBV,31,31,Björgvin Páll Gústavsson;Bjarni í Selvindi;Agnar Smári Jónsson;Viktor Sigurðsson;Úlfar Páll Monsi Þórðarson;Daníel Örn Guðmundsson;Ísak Gústafsson;Gunnar Róbertsson;Miodrag Corsovic;Róbert Aron Hostert;Allan Norðberg;Arnar Þór Fylkisson;Þorvaldur Örn Þorvaldsson;Alexander Petersson;Kristófer Máni Jónasson;Andri Finnsson,Dagur Arnarsson;Gauti Gunnarsson;Ísak Rafnsson;Andri Erlingsson;Kristófer Ísak Bárðarson;Daniel Esteves Vieira;Gabríel Martinez Róbertsson;Pavel Miskevich;Sveinn José Rivera;Nökkvi Snær Óðinsson;Sigtryggur Daði Rúnarsson;Róbert Sigurðarson;Kári Kristján Kristjánsson;Elís Þór Aðalsteinsson
2025,2024-09-05T19:30:00Z,Stjarnan,HK,29,27,Sveinn Andri Sveinsson;Jóhannes Björgvin;Rytis Kazakevicius;Hrannar Bragi Eyjólfsson;Tandri Már Konráðsson;Adam Thorstensen;Ísak Logi Einarsson;Egill Magnússon;Starri Friðriksson;Sigurður Jónsson;Pétur Árni Hauksson;Jóel Bernburg;Hans Jörgen Ólafsson;Daníel Karl Gunnarsson;Benedikt Marinó Herdísarson;Sigurður Dan Óskarsson,Jovan Kukobat;Kári Tómas Hauksson;Leó Snær Pétursson;Haukur Ingi Hauksson;Hjörtur Ingi Halldórsson;Ágúst Guðmundsson;Tómas Sigurðarson;Róbert Örn Karlsson;Styrmir Máni Arnarsson;Sigurður Jefferson Guarino;Benedikt Þorsteinsson;Júlíus Flosason;Andri Þór Helgason;Kristófer Stefánsson;Felix Már Kjartansson;Örn Alexandersson
2025,2024-09-05T19:30:00Z,FH,Fram,27,23,Daníel Freyr Andrésson;Ágúst Birgisson;Þórir Ingi Þorsteinsson;Aron Pálmarsson;Ásbjörn Friðriksson;Ingvar Dagur Gunnarsson;Jón Bjarni Ólafsson;Birkir Fannar Bragason;Jakob Martin Ásgeirsson;Gunnar Kári Bragason;Einar Örn Sindrason;Ómar Darri Sigurgeirsson;Birgir Már Birgisson;Jóhannes Berg Andrason;Garðar Ingi Sindrason;Símon Michael Guðjónsson,Arnór Máni Daðason;Sigurður Bjarki Jónsson;Rúnar Kárason;Magnús Öder Einarsson;Theodór Sigurðsson;Eiður Rafn Valsson;Breki Hrafn Árnason;Tindur Ingólfsson;Þorsteinn Gauti Hjálmarsson;Reynir Þór Stefánsson;Arnar Snær Magnússon;Erlendur Guðmundsson;Max Emil Stenlund;Bjartur Már Guðmundsson;Ívar Logi Styrmisson;Arnþór Sævarsson
2025,2024-09-05T20:15:00Z,Haukar,Afturelding,27,26,Vilius Rasimas;Geir Guðmundsson;Adam Haukur Baumruk;Kristinn Pétursson;Brynjólfur Snær Brynjólfsson;Sigurður Snær Sigurjónsson;Hergeir Grímsson;Össur Haraldsson;Skarphéðinn Ívar Einarsson;Birkir Snær Steinsson;Ásgeir Bragi Bryde Þórðarson;Ólafur Ægir Ólafsson;Egill Jónsson;Aron Rafn Eðvarðsson;Þráinn Orri Jónsson;Andri Fannar Elísson,Brynjar Vignir Sigurjónsson;Þorvaldur Tryggvason;Harri Halldórsson;Ævar Smári Gunnarsson;Árni Bragi Eyjólfsson;Daníel Bæring Grétarsson;Einar Baldvin Baldvinsson;Stefán Magni Hjartarson;Leó Halldórsson;Haukur Guðmundsson;Birgir Steinn Jónsson;Blær Hinriksson;Gísli Rúnar Jóhannsson;Hallur Arason;Kristján Ottó Hjálmsson;Ihor Kopyshynskyi
2025,2024-09-06T19:00:00Z,Fjölnir,ÍR,26,36,Viktor Berg Grétarsson;Óðinn Freyr Heiðmarsson;Róbert Dagur Davíðsson;Aðalsteinn Örn Aðalsteinsson;Brynjar Óli Kristjánsson;Bergur Bjartmarsson;Elvar Þór Ólafsson;Sigurjón Ágúst Sveinsson;Victor Máni Matthíasson;Sigurður Ingiberg Ólafsson;Björgvin Páll Rúnarsson;Haraldur Björn Hjörleifsson;Óli Fannar Pedersen;Aron Breki Oddnýjarson;Þorleifur Rafn Aðalsteinsson;Alex Máni Oddnýjarson,Ólafur Rafn Gíslason;Bjarki Steinn Þórisson;Baldur Fritz Bjarnason;Bernard Kristján Owusu Darkoh;Bergþór Róbertsson;Eyþór Ari Waage;Andri Freyr Ármannsson;Viktor Freyr Viðarsson;Sveinn Brynjar Agnarsson;Róbert Snær Örvarsson;Jökull Blöndal Björnsson;Nathan Doku Helgi Asare;Arnór Freyr Stefánsson;Egill Skorri Vigfússon;Sigurvin Jarl Ármannsson;Marteinn Sverrir Bjarnason
2025,2024-09-07T16:15:00Z,Grótta,KA,29,25,Lúðvík Thorberg B Arnkelsson;Jakob Ingi Stefánsson;Hafsteinn Óli Berg Ramos Rocha;Elvar Otri Hjálmarsson;Hannes Pétur Hauksson;Ari Pétur Eiríksson;Ágúst Ingi Óskarsson;Kári Kvaran;Atli Steinn Arnarson;Sæþór Atlason;Antoine Óskar Pantano;Magnús Gunnar Karlsson;Kári Benediktsson;Jón Ómar Gíslason;Hannes Grimm;Gunnar Dan Hlynsson,Óskar Þórarinsson;Hugi Elmarsson;Patrekur Stefánsson;Daði Jónsson;Magnús Dagur Jónatansson;Einar Rafn Eiðsson;Bjarni Ófeigur Valdimarsson;Hilmar Bjarki Gíslason;Bruno Bernat;Dagur Árni Heimisson;Einar Birgir Stefánsson;Kamil Pedryc;Marcus Rattel;Jóhann Geir Sævarsson;Ott Varik
2025,2024-09-12T19:00:00Z,KA,Haukar,26,34,Bruno Bernat;Hugi Elmarsson;Daði Jónsson;Arnór Ísak Haddsson;Magnús Dagur Jónatansson;Nicolai Horntvedt Kristensen;Einar Rafn Eiðsson;Bjarni Ófeigur Valdimarsson;Hilmar Bjarki Gíslason;Logi Gautason;Dagur Árni Heimisson;Einar Birgir Stefánsson;Marcus Rattel;Jóhann Geir Sævarsson;Aron Daði Stefánsson;Ott Varik,Vilius Rasimas;Geir Guðmundsson;Adam Haukur Baumruk;Kristinn Pétursson;Brynjólfur Snær Brynjólfsson;Sigurður Snær Sigurjónsson;Hergeir Grímsson;Össur Haraldsson;Skarphéðinn Ívar Einarsson;Birkir Snær Steinsson;Ásgeir Bragi Bryde Þórðarson;Ólafur Ægir Ólafsson;Egill Jónsson;Aron Rafn Eðvarðsson;Þráinn Orri Jónsson;Andri Fannar Elísson
2025,2024-09-12T19:30:00Z,ÍR,Grótta,29,33,Ólafur Rafn Gíslason;Bjarki Steinn Þórisson;Baldur Fritz Bjarnason;Bernard Kristján Owusu Darkoh;Bergþór Róbertsson;Eyþór Ari Waage;Hrannar Ingi Jóhannsson;Andri Freyr Ármannsson;Viktor Freyr Viðarsson;Sveinn Brynjar Agnarsson;Róbert Snær Örvarsson;Jökull Blöndal Björnsson;Nathan Doku Helgi Asare;Arnór Freyr Stefánsson;Sigurvin Jarl Ármannsson;Marteinn Sverrir Bjarnason,Sæþór Atlason;Lúðvík Thorberg B Arnkelsson;Jakob Ingi Stefánsson;Hafsteinn Óli Berg Ramos Rocha;Elvar Otri Hjálmarsson;Hannes Pétur Hauksson;Ari Pétur Eiríksson;Ágúst Ingi Óskarsson;Kári Kvaran;Atli Steinn Arnarson;Antoine Óskar Pantano;Magnús Gunnar Karlsson;Kári Benediktsson;Jón Ómar Gíslason;Hannes Grimm;Gunnar Dan Hlynsson
2025,2024-09-12T19:30:00Z,HK,FH,36,32,Jovan Kukobat;Kári Tómas Hauksson;Leó Snær Pétursson;Haukur Ingi Hauksson;Hjörtur Ingi Halldórsson;Ágúst Guðmundsson;Tómas Sigurðarson;Róbert Örn Karlsson;Styrmir Máni Arnarsson;Sigurður Jefferson Guarino;Benedikt Þorsteinsson;Júlíus Flosason;Andri Þór Helgason;Kristófer Stefánsson;Felix Már Kjartansson;Örn Alexandersson,Daníel Freyr Andrésson;Ágúst Birgisson;Þórir Ingi Þorsteinsson;Aron Pálmarsson;Ásbjörn Friðriksson;Ingvar Dagur Gunnarsson;Jón Bjarni Ólafsson;Birkir Fannar Bragason;Jakob Martin Ásgeirsson;Gunnar Kári Bragason;Ómar Darri Sigurgeirsson;Einar Örn Sindrason;Birgir Már Birgisson;Jóhannes Berg Andrason;Garðar Ingi Sindrason;Símon Michael Guðjónsson
2025,2024-09-13T19:30:00Z,Valur,Afturelding,31,34,Björgvin Páll Gústavsson;Bjarni í Selvindi;Agnar Smári Jónsson;Viktor Sigurðsson;Úlfar Páll Monsi Þórðarson;Daníel Örn Guðmundsson;Ísak Gústafsson;Gunnar Róbertsson;Dagur Leó Fannarsson;Jens Sigurðarson;Miodrag Corsovic;Allan Norðberg;Þorvaldur Örn Þorvaldsson;Alexander Petersson;Kristófer Máni Jónasson;Andri Finnsson,Brynjar Vignir Sigurjónsson;Þorvaldur Tryggvason;Harri Halldórsson;Ævar Smári Gunnarsson;Árni Bragi Eyjólfsson;Daníel Bæring Grétarsson;Einar Baldvin Baldvinsson;Stefán Magni Hjartarson;Haukur Guðmundsson;Birgir Steinn Jónsson;Blær Hinriksson;Gísli Rúnar Jóhannsson;Sveinur Olafsson;Hallur Arason;Kristján Ottó Hjálmsson;Ihor Kopyshynskyi
