Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
Haukar,Adam Haukur Baumruk,2023/24,5,0.8,50,0,0,1,1.6,0.4,0.2,0.4,0.2,0.4,6.2,0,0.6,0.2
Haukar,Adam Haukur Baumruk,2022/23,34,1.6,47.5,0,0,1.3,1.9,0.1,0.6,0.3,0.4,0.2,6.8,0.2,0.9,0.1
Haukar,Adam Haukur Baumruk,2021/22,28,3,59.4,0,0,1.2,1.5,0.5,1,0.2,0.1,0.3,3.5,0.1,0.6,0
Haukar,Adam Haukur Baumruk,2020/21,28,2.5,57.3,0,0,2,2.8,0.2,0.9,0.3,0.3,0.3,2.8,0.3,0.4,0
Haukar,Adam Haukur Baumruk,2019/20,20,4,47.9,0,0,1.5,2.2,0.2,1.3,0.4,0.2,0.4,2.7,0.3,0.8,0.1
Haukar,Adam Haukur Baumruk,2018/19,33,4.1,54.7,0,0,1.1,1.8,0.1,1,0.2,0.3,0.2,4,0.1,0.3,0.1
Thor,Aðalsteinn Ernir Bergþórsson,2020/21,21,0.3,66.7,0,0,0,0,0,0.2,0.3,0.3,0.4,2.5,0.1,0.4,0.1
Stjarnan,Aðalsteinn Örn Aðalsteinsson,2022/23,22,0.9,52.6,0,0,0.2,0.2,0,0.4,0.2,0,0,0.5,0,0.1,0
Fjolnir,Aðalsteinn Örn Aðalsteinsson,2019/20,1,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikingur,Agnar Ingi Rúnarsson,2023/24,5,2.6,68.4,0.2,33.3,0.4,0.6,0.2,0.4,0.4,0.2,0,2.8,0.2,0.2,0
Afturelding,Agnar Ingi Rúnarsson,2021/22,19,0.1,33.3,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0
Afturelding,Agnar Ingi Rúnarsson,2020/21,20,0.1,66.7,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Afturelding,Agnar Ingi Rúnarsson,2019/20,14,0.2,42.9,0,0,0,0,0,0.1,0.1,0.1,0,0.6,0.1,0,0
Afturelding,Agnar Ingi Rúnarsson,2018/19,3,0.3,100,0.3,100,0,0,0,0,0,0,0,0,0,0,0
Valur,Agnar Smári Jónsson,2023/24,4,1,28.6,0,0,0.5,1.8,0,0.5,0,0.3,0,0.3,0,0,0
Valur,Agnar Smári Jónsson,2022/23,22,2.1,50.5,0,0,1,1.4,0.1,1,0.1,0,0,0.5,0,0,0
Valur,Agnar Smári Jónsson,2021/22,29,1.3,37,0,0,0.6,0.7,0.1,0.9,0.1,0,0,0.3,0,0.1,0
Valur,Agnar Smári Jónsson,2020/21,22,3.6,51.6,0,0,1.1,1.7,0.2,1.3,0.2,0,0,0.1,0,0.1,0.1
Valur,Agnar Smári Jónsson,2019/20,16,3.3,55.3,0,0,1.2,1.8,0.4,1.1,0.1,0.1,0.1,0.3,0,0.1,0
Valur,Agnar Smári Jónsson,2018/19,15,3.5,46,0,0,0.5,1,0.4,1,0.2,0.1,0.1,2.2,0.2,0.4,0
KA,Aki Egilsnes,2020/21,22,4.3,54.3,0,0,3.6,5.6,0.3,2.5,0.4,0.4,0.2,4.7,0,0.7,0
KA,Aki Egilsnes,2019/20,11,5,48.2,0.7,66.7,3.5,5.6,0.1,2.1,0.8,0.5,0.1,2.9,0,0.6,0
KA,Aki Egilsnes,2018/19,22,6,52.4,0.9,76,3.2,5.2,0.5,2.1,0.4,0.1,0.2,3.2,0.1,0.4,0
Grotta,Akimasa Abe,2022/23,20,0.6,42.3,0,0,0.5,0.8,0.1,0.7,0.1,0.1,0.1,1,0,0.1,0
Grotta,Akimasa Abe,2021/22,19,0.6,40.7,0,0,0.3,0.4,0.1,0.5,0.1,0.2,0,1.2,0.1,0.3,0
Valur,Alexander Peterson,2023/24,6,2.5,55.6,0,0,0.7,1.2,0.7,0.5,0.3,1.7,0.3,2.8,0.2,0.3,0
Hordur,Alexander Tatarintsev,2022/23,5,1.2,75,0,0,0.2,0.6,0,0.2,0.2,0,0,1,0,0.6,0
Grotta,Alexander Jón Másson,2018/19,15,2.3,70.8,0,0,0.2,0.3,0,0.3,0.2,0.5,0,0.1,0.1,0.5,0
Fram,Alexander Már Egan,2022/23,23,1.1,57.8,0.3,72.7,0.1,0.1,0.1,0.2,0.2,0.1,0,0.3,0,0,0
Selfoss,Alexander Már Egan,2021/22,27,1.9,65.8,0,0,0,0,0.1,0.2,0.5,0.4,0,0.4,0,0.2,0
Selfoss,Alexander Már Egan,2020/21,20,2.1,63.6,0,0,0.1,0.2,0.3,0.3,0.8,0.1,0.1,0.8,0,0.1,0
Selfoss,Alexander Már Egan,2019/20,19,1.7,63.5,0,0,0.1,0.2,0.2,0.2,0.5,0.3,0,0.5,0.1,0.1,0
Selfoss,Alexander Már Egan,2018/19,27,1.9,68.9,0,0,0.2,0.2,0.1,0.3,0.6,0.4,0,0.9,0,0.2,0
Valur,Alexander Örn Júlíusson,2023/24,6,0,0,0,0,0.3,0.3,0,0.2,0,0.5,0.3,5.7,0,0.7,0
Valur,Alexander Örn Júlíusson,2022/23,24,0.1,100,0,0,0,0,0,0.1,0.5,0.7,1.2,3.8,0.2,0.6,0
Valur,Alexander Örn Júlíusson,2021/22,29,0.1,66.7,0,0,0.1,0.1,0,0,0.3,0.3,0.2,3.2,0.2,0.7,0
Valur,Alexander Örn Júlíusson,2020/21,27,0.5,63.6,0,0,0.1,0.2,0.2,0.4,0.1,0.8,0.5,4.6,0.2,0.6,0
Valur,Alexander Örn Júlíusson,2019/20,20,0.4,57.1,0,0,0.9,1.3,0.2,0.4,0.2,0.6,0.5,5.3,0.4,0.7,0.1
Valur,Alexander Örn Júlíusson,2018/19,26,1,50,0,0,1,1.3,0.2,0.5,0.3,0.4,0.4,4.2,0.2,0.7,0.2
KA,Allan Nordberg,2022/23,17,1.6,40.6,0,0,0.5,0.7,0.4,0.9,0.2,0.1,0.1,0.3,0,0.2,0
KA,Allan Nordberg,2021/22,25,2.1,49.1,0,0,1.3,1.9,0.2,1.2,0.2,0.2,0,0.5,0,0.1,0
KA,Allan Nordberg,2020/21,24,1.6,57.4,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0,0.5,0,0.1,0
KA,Allan Nordberg,2019/20,19,2.3,62,0,0,0.5,0.6,0.3,0.8,0.5,0.7,0,1.5,0,0.4,0
KA,Allan Nordberg,2018/19,20,2.9,55.9,0,0,0.7,0.9,0.3,0.9,0.8,1.1,0.1,1.2,0.1,0.4,0
Valur,Allan Norðberg Norðberg,2023/24,6,2.7,76.2,0,0,0.5,0.7,0.3,0,0.2,0.3,0,1,0,0.2,0
Selfoss,Alvaro Mallols Fernandez,2023/24,5,0.8,50,0,0,0.4,0.6,0.2,0.8,0.6,0,0,1.8,0,0.2,0
IBV,Andrés Marel Sigurðsson,2022/23,3,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0.3,0
IBV,Andrés Marel Sigurðsson,2021/22,11,0.9,52.6,0,0,0.1,0.1,0,0.1,0.4,0.3,0,0.4,0,0.2,0
Valur,Andri Finnsson,2023/24,6,2,70.6,0,0,0,0,0.7,0,0.2,0,0,0,0,0.2,0
IBV,Andri Erlingsson,2023/24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
