Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
HK,Ada  Kozicka,2018/19,6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Stjarnan,Adda Sólbjört Högnadóttir,2021/22,12,0.1,50,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0
Selfoss,Adela Eyrún Jóhannsdóttir,2022/23,20,0.4,41.2,0,0,0.3,0.6,0.1,0.6,0,0.3,0.1,0.3,0,0.1,0
Selfoss,Agnes Sigurðardóttir,2018/19,15,0.3,38.5,0,0,0,0,0.1,0.3,0.2,0,0,0.1,0,0,0
Afturelding,Agnes Brá Jónsdóttir,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Agnes Lilja Styrmisdóttir,2023/24,5,0.4,40,0.2,100,0,0,0,0.6,0,0,0,0,0,0.2,0
KA/Thor,Agnes Vala Tryggvadóttir,2023/24,3,0,0,0,0,0,0,0,0,0,0.3,0,0.7,0,0.7,0
KA/Thor,Agnes Vala Tryggvadóttir,2022/23,19,0.1,12.5,0,0,0.1,0.2,0,0,0.2,0.2,0,1.6,0.1,0.3,0
KA/Thor,Agnes Vala Tryggvadóttir,2021/22,8,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
KA/Thor,Aldís Ásta Heimisdóttir,2021/22,27,4.5,53.3,0,100,4.8,7.4,1.4,2.6,0.4,0.9,0.7,4.7,0.1,0.7,0
KA/Thor,Aldís Ásta Heimisdóttir,2020/21,19,3.9,50.3,0,0,3.1,4.7,0.8,3.4,0.2,0.8,0.9,5.1,0.2,0.5,0
KA/Thor,Aldís Ásta Heimisdóttir,2019/20,18,1.7,33.7,0,0,2,2.8,0.6,1.7,0.2,0.3,0.2,3.3,0.2,0.6,0.1
KA/Thor,Aldís Ásta Heimisdóttir,2018/19,11,1.9,48.8,0,0,1.2,1.6,0.4,1.5,0.1,0.2,0,1.9,0,0.5,0
Haukar,Alexandra Líf Arnarsdóttir,2023/24,5,0.8,40,0,0,0.6,0.6,0,0.6,0,0.4,0.8,2.2,0,0.4,0
