Lið,Tímabil,Leikir,Mörk,Skot%,Víti,Víta%,Hraða.,Hraða%,Mörk á,Varin,% Varsla,Víti Varin,Víta %,Stoð,Sk.F,Fi.Víti,TB,Frk,Stl,Blk,Stopp,Gul,2Mín,Rau
Afturelding,2023/24,4,25.3,55.8,2,61.5,2.8,78.6,29,10,25.6,0.3,5.3,10,14.5,3.5,14.8,3.8,6.5,2,18.3,0.8,2,0.3
Afturelding,2021/22,21,22.9,45.5,2.9,69.8,1.7,70.6,32.4,9,21.7,0.3,10.3,8,13.7,4.1,14.6,3.4,5.9,1.2,14.5,0.4,2.4,0
Afturelding,2019/20,19,19.6,46.1,3.1,74.7,1.1,72.4,28.4,11.2,28.3,0.5,10.6,4.3,7.2,4.2,14.7,3.1,2.1,2.8,16.4,0.9,2.4,0.2
FH,2020/21,14,19.2,44.3,3.1,86,1.2,77.3,30.1,11.1,26.9,0.6,13.8,5.5,8.5,3.6,17.4,4.6,3.9,1.7,19,0.7,3.3,0.1
Fram,2023/24,4,26.3,57.7,2,72.7,2.5,90.9,25.5,8.5,25,0.5,11.8,12,16.8,2.8,10.5,3.5,5.3,5.3,26.8,1,2,0
Fram,2022/23,23,27.3,57.6,2.4,75.7,4.5,78.8,23.6,14.9,38.7,1,20.8,13.6,19.2,3.2,12.5,4.1,4.9,3.7,21.9,0.7,2.1,0
Fram,2021/22,28,27.1,56.9,3.1,86,3.7,76.5,23.3,13.8,37.2,0.9,19,13.6,20.5,3.6,11.5,5,4.6,3.9,16.5,0.8,1.8,0.1
Fram,2020/21,16,28.4,58.7,3.4,77.5,4.9,82.1,24.1,11.3,31.9,0.6,14.8,12.8,17.3,4.4,12.2,3.7,5.3,5.9,13.9,0.6,2.1,0.1
Fram,2019/20,18,31.9,63.4,3.1,82.1,6.3,86.4,21.1,13.9,39.7,0.7,22.6,16.7,22.8,3.7,10.4,2.3,6.2,7.2,17.8,0.6,1.8,0
Fram,2018/19,27,29.1,58.9,2.4,77.6,5,80.2,25.1,11.3,31,0.6,14.9,13.3,18.7,2.8,9.7,1.6,5.9,4,14,0.4,2,0
Haukar,2023/24,5,26,57,3.8,73.1,2,76.9,24.4,10.8,30.7,0.4,10,12.6,21.2,5.2,13.2,2.8,4,3.8,20,0.4,4,0.2
Haukar,2022/23,28,26.4,52.3,3.7,68.2,3.1,74.1,27.4,11,28.6,0.4,13.5,11.3,18.4,5.4,10.5,3.3,6.1,2.2,26,0.9,2.8,0
Haukar,2021/22,23,27.2,54.4,3,76.1,3.3,70.8,26.9,13.1,32.8,0.8,20.5,12.2,18.7,4,11.7,3.9,5.4,2,18.9,0.6,2.4,0.1
Haukar,2020/21,16,24.4,50.9,2.9,81,1.4,71.9,25.8,12.5,32.6,0.4,11.1,9.1,14.3,3.6,12.1,3.9,3.7,2.8,17.8,0.7,2.3,0.1
Haukar,2019/20,18,22.1,49.2,2.7,72.1,2.3,74.5,24.9,11.9,32.3,0.8,20.3,6.5,10.2,3.7,12.9,2.8,4.3,1.9,22.7,0.9,3.7,0.1
Haukar,2018/19,24,25.3,54.3,2.8,80,2.3,75,24.9,10.3,29.3,0.7,18,7.5,10.5,3.1,10.6,2.4,4,2.6,17.7,0.9,2.3,0
HK,2022/23,21,21.8,46.8,2.2,66.2,1.7,72.9,31.2,8.8,22,0.4,10.8,7.6,13.7,3.4,12.6,2,3.7,0.7,22.6,0.9,3.8,0.1
HK,2021/22,21,22.9,54,4,79,1.8,64.4,26,10,27.8,0.8,16.7,7.6,12.1,5,14.6,2.2,5.5,1.8,22.1,1,3,0.1
HK,2020/21,14,24.1,53.1,3.1,81.1,2.7,84.4,26.8,10.3,27.8,0.2,4.8,8.4,11.5,3.8,13.1,1.4,4.6,1.2,26.6,0.6,3.9,0.1
